name,rating,user_ratings_total,price_level,vicinity,formatted_address,place_id,types,business_status,formatted_phone_number,website,opening_hours,reviews_count,category,generated_review
The Grove - Yerba Buena,4.4,4592,2,,"690 Mission St, San Francisco, CA 94105, United States",ChIJiZyN7IeAhYARnCn-G6GH73Q,"cafe, bar, meal_takeaway, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Coffee | Bar/Lounge | Casual Dining,Really enjoyed my meal at The Grove - Yerba Buena. The food was tasty and the service was prompt.
Pier Market Seafood Restaurant,4.4,8013,2,,"39 Pier, San Francisco, CA 94133, United States",ChIJHSGzi_yAhYAR9CGTkz3GiJ0,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Seafood | Casual Dining,Pier Market Seafood Restaurant offers a solid dining experience with good quality food and reasonable prices.
Sotto Mare,4.6,4629,2,,"552 Green St, San Francisco, CA 94133, United States",ChIJQfYyVvGAhYARJVwoboB1WKQ,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Sotto Mare exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Angler,4.5,976,4,,"132 The Embarcadero, San Francisco, CA 94105, United States",ChIJgURgKGuBhYARMIlKBN79aOQ,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Angler exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful. The upscale atmosphere adds to the dining experience.
Original Joe's,4.5,3218,2,,"601 Union St, San Francisco, CA 94133, United States",ChIJfSGLEfGAhYARC8Egs7nINzk,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Absolutely amazing experience at Original Joe's! The food was exceptional and the service was top-notch. Highly recommend!
The Morris,4.7,609,3,,"2501 Mariposa St, San Francisco, CA 94110, United States",ChIJqZE4DTF-j4ARUYdqdEEgh8k,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,One of the best restaurants I've ever been to. The Morris delivers quality that matches their excellent reputation.
Lazy Bear,4.8,1109,4,,"3416 19th St, San Francisco, CA 94110, United States",ChIJk35bizx-j4AREil6UPp7Jn4,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,One of the best restaurants I've ever been to. Lazy Bear delivers quality that matches their excellent reputation. The upscale atmosphere adds to the dining experience.
Lily,4.6,413,2,,"225 Clement St, San Francisco, CA 94118, United States",ChIJzTvRcRuHhYARMPxqfMH8_Qw,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Absolutely amazing experience at Lily! The food was exceptional and the service was top-notch. Highly recommend!
Marufuku Ramen,4.5,2757,2,,"1581 Webster St #235, San Francisco, CA 94115, United States",ChIJsYdOvCx-j4ARJItjWBikyOk,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Japanese | Casual Dining,Absolutely amazing experience at Marufuku Ramen! The food was exceptional and the service was top-notch. Highly recommend!
KAIYO ROOFTOP,4.1,731,2,,"701 3rd St 12th Floor, San Francisco, CA 94107, United States",ChIJAS1jCN5_j4AR_KeMCaeunWw,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Great food and service at KAIYO ROOFTOP. The dishes were well-prepared and the staff was friendly.
Seven Hills,4.7,830,3,,"1896 Hyde St, San Francisco, CA 94109, United States",ChIJc1RqC-yAhYARWmmWMJ-xkDs,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,One of the best restaurants I've ever been to. Seven Hills delivers quality that matches their excellent reputation.
The Progress,4.6,1164,3,,"1525 Fillmore St, San Francisco, CA 94115, United States",ChIJ8zXoo7mAhYARtoa-WE3d5NE,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,The Progress exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Liholiho Yacht Club,4.7,1809,3,,"871 Sutter St, San Francisco, CA 94109, United States",ChIJkVSnJpKAhYARCSaDnRo5brE,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Absolutely amazing experience at Liholiho Yacht Club! The food was exceptional and the service was top-notch. Highly recommend!
Rich Table,4.7,1457,3,,"199 Gough St, San Francisco, CA 94102, United States",ChIJh_24QJ-AhYAR_xbUNVN2Xns,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Absolutely amazing experience at Rich Table! The food was exceptional and the service was top-notch. Highly recommend!
Sons & Daughters,4.7,355,4,,"708 Bush St, San Francisco, CA 94108, United States",ChIJvXXIOoyAhYARe-ixq3WdmrY,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,One of the best restaurants I've ever been to. Sons & Daughters delivers quality that matches their excellent reputation. The upscale atmosphere adds to the dining experience.
Piccolo Forno,4.7,1884,2,,"725 Columbus Ave, San Francisco, CA 94133, United States",ChIJLeYyO_CAhYAR6j9XsEIm3GI,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Absolutely amazing experience at Piccolo Forno! The food was exceptional and the service was top-notch. Highly recommend!
Bouche,4.5,657,3,,"603 Bush St, San Francisco, CA 94108, United States",ChIJaa9OAYyAhYARxwgUHLNEpOY,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,One of the best restaurants I've ever been to. Bouche delivers quality that matches their excellent reputation.
The Vault Garden,4.3,299,,,"Plaza Level, 555 California St, San Francisco, CA 94104, United States",ChIJxcwexvGBhYARJd6pbktHXCk,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Great food and service at The Vault Garden. The dishes were well-prepared and the staff was friendly.
Delarosa Downtown,4.3,2017,2,,"37 Yerba Buena Ln, San Francisco, CA 94103, United States",ChIJp5VgLIaAhYARLC-hH-r89rM,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Delarosa Downtown offers a solid dining experience with good quality food and reasonable prices.
PABU Izakaya,4.3,1240,4,,"101 California St, San Francisco, CA 94111, United States",ChIJ44TmfmGAhYARtt8NOeJ9kLo,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Japanese | Fine Dining,Great food and service at PABU Izakaya. The dishes were well-prepared and the staff was friendly. The upscale atmosphere adds to the dining experience.
Coqueta,4.4,2684,3,,"Pier 5 The Embarcadero, San Francisco, CA 94111, United States",ChIJA8_SN2eAhYARCIvEx44Zvfw,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Really enjoyed my meal at Coqueta. The food was tasty and the service was prompt.
Sears Fine Food,4.3,3827,2,,"439 Powell St, San Francisco, CA 94102, United States",ChIJlW39lY6AhYAR-kYSJfvNY6A,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Great food and service at Sears Fine Food. The dishes were well-prepared and the staff was friendly.
Barcha Restaurant,4.4,1398,3,,"28 Fremont St, San Francisco, CA 94105, United States",ChIJDzBboWOAhYARKT5j0sGvFDU,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Great food and service at Barcha Restaurant. The dishes were well-prepared and the staff was friendly.
MKT Restaurant and Bar,4.5,474,,,"757 Market St, San Francisco, CA 94103, United States",ChIJaZ6Hg4iAhYARrwVEfkv9Zlw,"night_club, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Absolutely amazing experience at MKT Restaurant and Bar! The food was exceptional and the service was top-notch. Highly recommend!
Super Duper Burgers,4.4,6728,1,,"721 Market St, San Francisco, CA 94103, United States",ChIJLVgtY4iAhYARoO_UxqNv5Bw,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,American | Casual Dining,Really enjoyed my meal at Super Duper Burgers. The food was tasty and the service was prompt.
Sens,4.3,935,3,,"4 Embarcadero Ctr Level, San Francisco, CA 94111, United States",ChIJBVDZR2GAhYARCy82N8HgD5I,"restaurant, meal_takeaway, bar, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Really enjoyed my meal at Sens. The food was tasty and the service was prompt.
Bix,4.5,1214,3,,"56 Gold St, San Francisco, CA 94133, United States",ChIJDZ0ZOPWAhYARkZFd-uCioMs,"night_club, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Absolutely amazing experience at Bix! The food was exceptional and the service was top-notch. Highly recommend!
Prospect,4.4,982,3,,"300 Spear St, San Francisco, CA 94105, United States",ChIJsc_3vHqAhYARG50dM6228cE,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Great food and service at Prospect. The dishes were well-prepared and the staff was friendly.
Benu,4.6,706,4,,"22 Hawthorne St, San Francisco, CA 94105, United States",ChIJSToWqn2AhYAR1CuH2iGMvuo,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Absolutely amazing experience at Benu! The food was exceptional and the service was top-notch. Highly recommend! The upscale atmosphere adds to the dining experience.
Kiln,4.8,117,,,"149 Fell St, San Francisco, CA 94102, United States",ChIJlZn9AxyBhYARAY1cJE9KydY,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Casual Dining,One of the best restaurants I've ever been to. Kiln delivers quality that matches their excellent reputation.
Quince,4.6,715,4,,"470 Pacific Ave, San Francisco, CA 94133, United States",ChIJ8biHnb-AhYARSpU8MDPb5vs,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Quince exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful. The upscale atmosphere adds to the dining experience.
Atelier Crenn,4.7,715,4,,"3127 Fillmore St, San Francisco, CA 94123, United States",ChIJx1ULhNCAhYARSRq9NDWTeqI,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Atelier Crenn exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful. The upscale atmosphere adds to the dining experience.
Acquerello,4.6,606,4,,"NEAR VAN NESS &, 1722 Sacramento St, San Francisco, CA 94109, United States",ChIJwYdY3uqAhYARXUJUOIELoqU,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Acquerello exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful. The upscale atmosphere adds to the dining experience.
STK Steakhouse,4.6,3176,4,,"1 Market St Suite M3, San Francisco, CA 94105, United States",ChIJzcayqEyBhYARyvjdWRk5_0E,"night_club, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,American | Bar/Lounge | Fine Dining,Absolutely amazing experience at STK Steakhouse! The food was exceptional and the service was top-notch. Highly recommend! The upscale atmosphere adds to the dining experience.
Birdsong,4.6,441,4,,"1085 Mission St, San Francisco, CA 94103, United States",ChIJTwtvfIOAhYARHMEe0c2Xi4s,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Absolutely amazing experience at Birdsong! The food was exceptional and the service was top-notch. Highly recommend! The upscale atmosphere adds to the dining experience.
Fable,4.4,1024,2,,"558 Castro St, San Francisco, CA 94114, United States",ChIJ369T0Rp-j4ARftWt7DRMdo4,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Fable offers a solid dining experience with good quality food and reasonable prices.
Bottega,4.4,905,2,,"1132 Valencia St, San Francisco, CA 94110, United States",ChIJxZMBuHV_j4ARK1fO7KSqyOE,"bar, restaurant, food, store, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Great food and service at Bottega. The dishes were well-prepared and the staff was friendly.
The Front Porch,4.4,1249,2,,"65 29th St, San Francisco, CA 94110, United States",ChIJn8Ixw0J-j4ARb073TlyhmZw,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,The Front Porch offers a solid dining experience with good quality food and reasonable prices.
The Bite,4.7,799,2,,"996 Mission St, San Francisco, CA 94103, United States",ChIJO4EpnZiBhYARcipjqfa3rxI,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,The Bite exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Blue Plate,4.6,569,3,,"3218 Mission St, San Francisco, CA 94110, United States",ChIJ7d1kDkN-j4ARLXO5JZwg7NI,"park, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Bar/Lounge | Fine Dining,Absolutely amazing experience at Blue Plate! The food was exceptional and the service was top-notch. Highly recommend!
Sisterita,4.6,576,2,,"669 Commercial St, San Francisco, CA 94111, United States",ChIJ4WcYIz-BhYARw72VEt7JrC8,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Casual Dining,Sisterita exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Wilder,4.1,141,2,,"3154 Fillmore St, San Francisco, CA 94123, United States",ChIJz9OgV8CBhYARQjI8TPEiVVg,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Casual Dining,Great food and service at Wilder. The dishes were well-prepared and the staff was friendly.
Causwells,4.3,901,2,,"2346 Chestnut St, San Francisco, CA 94123, United States",ChIJ78j3OdSAhYAR_nZU8ILRNUU,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Casual Dining,Great food and service at Causwells. The dishes were well-prepared and the staff was friendly.
La Mar Cocina Peruana San Francisco,4.5,4519,3,,"1 1/2 Ferry Plaza, San Francisco, CA 94111, United States",ChIJURDKN2eAhYARN0AMzUEaiKo,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,La Mar Cocina Peruana San Francisco exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Brickhouse Cafe & Bar,4.3,906,2,,"426 Brannan St, San Francisco, CA 94107, United States",ChIJSZ0wqHiAhYARdMldLticW4w,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Coffee | Bar/Lounge | Casual Dining,Great food and service at Brickhouse Cafe & Bar. The dishes were well-prepared and the staff was friendly.
Prubechu,4.6,475,3,,"2224 Mission St #A, San Francisco, CA 94110, United States",ChIJxesKArN_j4AR4rL6f1X6iec,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Absolutely amazing experience at Prubechu! The food was exceptional and the service was top-notch. Highly recommend!
